Source Name               Right Asc.           Declination
111197 .................. 15.243983 .......... 67.346723 
111764 .................. 15.938908 .......... 63.816591 
111778 .................. 15.961157 .......... 65.396687 
1118+125 ................ 11.315917 .......... 12.578255 
112020 .................. 16.247291 .......... 70.929663 
112048 .................. 16.281423 .......... 60.534907 
112220 .................. 16.485085 .......... 60.640025 
112395 .................. 16.698215 .......... 63.815623 
112553 .................. 16.953706 .......... 71.463227 
112650 .................. 17.099986 .......... 75.103478 
1127-189 ................ 11.451220 .......... -18.954845 
112953 .................. 17.487938 .......... 63.869138 
112958 .................. 17.495681 .......... 63.852655 
1130+382 ................ 11.514801 .......... 38.255152 
1130-148 ................ 11.501959 .......... -14.824274 
1130-148 ................ 11.501959 .......... -14.824274 
1130-148 ................ 11.501959 .......... -14.824275 
113065 .................. 17.690822 .......... 70.464405 
113122 .................. 17.788635 .......... 78.391330 
113393 .................. 18.259568 .......... 79.064898 
113460 .................. 18.387633 .......... 81.220679 
113532 .................. 18.517534 .......... 73.083809 
113581 .................. 18.609429 .......... 63.362448 
113582 .................. 18.614765 .......... 61.702505 
113775 .................. 18.947016 .......... 68.292382 
1139+657 ................ 11.666262 .......... 65.796237 
1139-138 ................ 11.652973 .......... -13.845456 
114173 .................. 19.684854 .......... 84.729896 
114263 .................. 19.796230 .......... 63.860403 
114354 .................. 19.964991 .......... 62.964034 
114453 .................. 20.134933 .......... 66.850576 
114547 .................. 20.292036 .......... 66.853687 
1146+399 ................ 11.782861 .......... 39.976196 
1147-382 ................ 11.783714 .......... -38.203062 
1150-003 ................ 11.845520 .......... -0.398392 
115244 .................. 21.449652 .......... 81.742406 
1153+495 ................ 11.890131 .......... 49.519111 
1153+809 ................ 11.886805 .......... 80.974765 
115722 .................. 22.178853 .......... 71.128249 
115813 .................. 22.301817 .......... 61.134437 
115833 .................. 22.339311 .......... 82.970796 
1159+292 ................ 11.992176 .......... 29.245507 
115904 .................. 22.442314 .......... 79.814887 
116501 .................. 23.202651 .......... 82.394611 
117098 .................. 23.977497 .......... 77.262006 
1205-265 ................ 12.092561 .......... -26.567911 
1209-241 ................ 12.150683 .......... -24.105775 
1215-175 ................ 12.262987 .......... -17.529279 
1221+282 ................ 12.358803 .......... 28.232916 
1224+035 ................ 12.414562 .......... 3.513970 
1224+213 ................ 12.415128 .......... 21.379562 
1229+020 ................ 12.485194 .......... 2.052388 
1229+020 ................ 12.485194 .......... 2.052388 
1230+123 ................ 12.513729 .......... 12.391123 
1246-075 ................ 12.767842 .......... -7.512937 
1246-257 ................ 12.779667 .......... -25.797025 
1248-199 ................ 12.806638 .......... -19.988497 
1248-199 ................ 12.806640 .......... -19.988517 
1256-057 ................ 12.936435 .......... -5.789312 
1256-057 ................ 12.936435 .......... -5.789313 
12oph ................... 16.605900 .......... 2.324600 
1305-105 ................ 13.092504 .......... -10.555397 
1308-098 ................ 13.144214 .......... -9.842411 
1310+323 ................ 13.174629 .......... 32.345495 
1311-222 ................ 13.194260 .......... -22.278263 
1316-336 ................ 13.268885 .......... -33.649770 
1326+319 ................ 13.437920 .......... 31.902643 
1326+319 ................ 13.437921 .......... 31.902611 
1327+221 ................ 13.450239 .......... 22.180601 
1330+251 ................ 13.510469 .......... 25.153049 
1330+251 ................ 13.510469 .......... 25.153049 
1331+305 ................ 13.518969 .......... 30.509155 
1331+305 ................ 13.518969 .......... 30.509155 
1337-129 ................ 13.627717 .......... -12.956859 
1347+122 ................ 13.792600 .......... 12.290056 
1347+122 ................ 13.792600 .......... 12.290066 
1347+122 ................ 13.792600 .......... 12.290066 
1357+193 ................ 13.951232 .......... 19.318714 
1357-154 ................ 13.953124 .......... -15.457996 
1400+621 ................ 14.007959 .......... 62.177368 
1407+284 ................ 14.116776 .......... 28.454080 
1411+522 ................ 14.189069 .......... 52.202539 
1415+133 ................ 14.266338 .......... 13.339919 
1419+064 ................ 14.318939 .......... 6.476334 
1419+543 ................ 14.329610 .......... 54.387440 
1427-421 ................ 14.465632 .......... -42.105146 
1445+099 ................ 14.754574 .......... 9.976687 
1446+173 ................ 14.776485 .......... 17.352096 
1454-377 ................ 14.907615 .......... -37.792413 
1458+042 ................ 14.983154 .......... 4.270504 
1459+716 ................ 14.985431 .......... 71.672156 
1459+716 ................ 14.985440 .......... 71.672185 
1504+104 ................ 15.073606 .......... 10.494222 
1506+833 ................ 15.106983 .......... 83.324167 
1507-168 ................ 15.117996 .......... -16.875074 
1512-090 ................ 15.214037 .......... -9.099953 
1513-102 ................ 15.229137 .......... -10.200073 
1517-243 ................ 15.294948 .......... -24.372077 
1522-275 ................ 15.377132 .......... -27.502996 
1540+147 ................ 15.680414 .......... 14.796079 
1549+026 ................ 15.824844 .......... 2.616990 
1550+054 ................ 15.843130 .......... 5.452903 
1557-000 ................ 15.964287 .......... -0.030671 
1602+334 ................ 16.035351 .......... 33.448077 
1604+012 ................ 16.079248 .......... 1.297562 
1608+104 ................ 16.146168 .......... 10.485493 
1609+266 ................ 16.153700 .......... 26.691383 
1609+266 ................ 16.153700 .......... 26.691399 
1613+342 ................ 16.228073 .......... 34.213308 
1625-254 ................ 16.429692 .......... -25.460645 
1626-298 ................ 16.435006 .......... -29.857491 
1634+627 ................ 16.576056 .......... 62.759973 
1635+381 ................ 16.587637 .......... 38.134583 
1637+826 ................ 16.542233 .......... 82.537897 
1638+573 ................ 16.637071 .......... 57.339995 
1638+625 ................ 16.641168 .......... 62.578977 
1640+397 ................ 16.674898 .......... 39.779452 
1642+398 ................ 16.716336 .......... 39.810276 
1642+398 ................ 16.716336 .......... 39.810276 
1642+689 ................ 16.702180 .......... 68.944377 
1653+397 ................ 16.897838 .......... 39.760170 
